CityName,Date,No_of_complain_received,No_of_complain_disposed,No_of_complain_pending
Surat,01-04-2019,1669,401,1268
Surat,02-04-2019,1795,544,1251
Surat,03-04-2019,1651,426,1225
Surat,04-04-2019,1595,364,1231
Surat,05-04-2019,1627,380,1247
Surat,06-04-2019,1530,286,1244
Surat,07-04-2019,1322,76,1246
Surat,08-04-2019,1756,484,1272
Surat,09-04-2019,1725,474,1251
Surat,10-04-2019,1734,432,1302
Surat,11-04-2019,1509,269,1240
Surat,12-04-2019,1521,268,1253
Surat,13-04-2019,1486,228,1258
Surat,14-04-2019,1335,91,1244
Surat,15-04-2019,1641,363,1278
Surat,16-04-2019,1732,413,1319
Surat,17-04-2019,1608,267,1341
Surat,18-04-2019,1806,435,1371
Surat,19-04-2019,1497,147,1350
Surat,20-04-2019,1721,367,1354
Surat,21-04-2019,1483,104,1379
Surat,22-04-2019,1601,238,1363
Surat,23-04-2019,1394,96,1298
Surat,24-04-2019,1522,292,1230
Surat,25-04-2019,1815,571,1244
Surat,26-04-2019,1714,462,1252
Surat,27-04-2019,1555,294,1261
Surat,28-04-2019,1370,112,1258
Surat,29-04-2019,1800,559,1241
Surat,30-04-2019,1830,579,1251
Surat,01-05-2019,1708,474,1234
Surat,02-05-2019,1599,351,1248
Surat,03-05-2019,1628,360,1268
Surat,04-05-2019,1675,405,1270
Surat,05-05-2019,1393,113,1280
Surat,06-05-2019,1728,430,1298
Surat,07-05-2019,1568,291,1277
Surat,08-05-2019,1709,472,1237
Surat,09-05-2019,1545,300,1245
Surat,10-05-2019,1531,280,1251
Surat,11-05-2019,1541,293,1248
Surat,12-05-2019,1357,104,1253
Surat,13-05-2019,1752,483,1269
Surat,14-05-2019,1729,454,1275
Surat,15-05-2019,1750,414,1336
Surat,16-05-2019,1636,285,1351
Surat,17-05-2019,1674,317,1357
Surat,18-05-2019,1722,332,1390
Surat,19-05-2019,1524,124,1400
Surat,20-05-2019,1873,443,1430
Surat,21-05-2019,1818,462,1356
Surat,22-05-2019,1712,359,1353
Surat,23-05-2019,1669,310,1359
Surat,24-05-2019,1751,356,1395
Surat,25-05-2019,1760,301,1459
Surat,26-05-2019,1586,126,1460
Surat,27-05-2019,1986,437,1549
Surat,28-05-2019,2035,590,1445
Surat,29-05-2019,2006,533,1473
Surat,30-05-2019,1930,421,1509
Surat,31-05-2019,1910,393,1517
Surat,01-06-2019,2039,518,1521
Surat,02-06-2019,1727,181,1546
Surat,03-06-2019,2233,690,1543
Surat,04-06-2019,2153,600,1553
Surat,05-06-2019,1736,316,1420
Surat,06-06-2019,1906,462,1444
Surat,07-06-2019,1969,505,1464
Surat,08-06-2019,1828,381,1447
Surat,09-06-2019,1586,134,1452
Surat,10-06-2019,2075,598,1477
Surat,11-06-2019,2060,602,1458
Surat,12-06-2019,1973,576,1397
Surat,13-06-2019,1959,545,1414
Surat,14-06-2019,2111,669,1442
Surat,15-06-2019,2103,639,1464
Surat,16-06-2019,1606,129,1477
Surat,17-06-2019,2219,728,1491
Surat,18-06-2019,2307,815,1492
